"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.529999971E-1,1.493999958E0,9.652999878E0
1.000000000E0,-2.680000067E-1,1.417000055E0,9.500000000E0
2.000000000E0,-4.210000038E-1,1.378999949E0,9.576999664E0
3.000000000E0,-1.529999971E-1,1.264000058E0,9.920999527E0
4.000000000E0,-1.909999996E-1,1.225000024E0,9.461999893E0
5.000000000E0,-2.680000067E-1,1.225000024E0,9.920999527E0
6.000000000E0,-1.529999971E-1,1.264000058E0,9.614999771E0
7.000000000E0,-7.599999756E-2,1.264000058E0,9.500000000E0
8.010000000E0,-1.909999996E-1,1.225000024E0,9.614999771E0
9.010000000E0,-7.599999756E-2,1.302000046E0,9.461999893E0
1.001000000E1,-7.599999756E-2,1.187000036E0,9.576999664E0
1.101000000E1,-1.140000001E-1,1.187000036E0,9.692000389E0
1.201000000E1,-1.909999996E-1,1.072000027E0,9.692000389E0
1.301000000E1,-1.909999996E-1,1.225000024E0,9.347000122E0
1.401000000E1,-3.799999878E-2,1.149000049E0,9.500000000E0
1.501000000E1,-7.599999756E-2,1.110000014E0,9.614999771E0
1.601000000E1,-3.799999878E-2,1.110000014E0,9.767999649E0
1.701000000E1,0.000000000E0,1.187000036E0,9.614999771E0
1.801000000E1,-1.140000001E-1,1.149000049E0,9.576999664E0
1.901000000E1,-2.290000021E-1,1.110000014E0,9.614999771E0
2.001000000E1,-7.599999756E-2,1.034000039E0,9.576999664E0
2.101000000E1,-1.529999971E-1,1.110000014E0,9.807000160E0
2.201000000E1,-3.799999878E-2,8.809999824E-1,9.729999542E0
2.301000000E1,-3.059999943E-1,1.072000027E0,9.347000122E0
2.401000000E1,-7.659999728E-1,1.225000024E0,9.960000038E0
2.501000000E1,-8.809999824E-1,1.455000043E0,9.538000107E0
2.601000000E1,-3.059999943E-1,8.420000076E-1,8.541999817E0
2.701000000E1,-8.040000200E-1,8.420000076E-1,7.546000004E0
2.801000000E1,-1.149000049E0,-3.440000117E-1,1.080300045E1
2.901000000E1,-4.589999914E-1,1.531999946E0,1.045800018E1
3.001000000E1,7.599999756E-2,1.493999958E0,8.656999588E0
3.101000000E1,-7.599999756E-2,-4.589999914E-1,9.652999878E0
3.201000000E1,2.680000067E-1,0.000000000E0,9.307999611E0
3.301000000E1,-3.829999864E-1,8.420000076E-1,1.110900021E1
