"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.930946823E1,-1.193202167E1,-7.707743500E1,9.477520512E1,0.000000000E0,1.405599976E2,3.200000048E0,0.000000000E0
2.030925039E1,-1.193202167E1,-7.707743500E1,9.477520512E1,0.000000000E0,1.405599976E2,3.200000048E0,0.000000000E0
2.131512346E1,-1.193202167E1,-7.707743500E1,9.477520512E1,0.000000000E0,1.405599976E2,3.200000048E0,0.000000000E0
2.230964692E1,-1.193202167E1,-7.707743500E1,9.477520512E1,0.000000000E0,1.405599976E2,3.099999905E0,0.000000000E0
2.330973231E1,-1.193202167E1,-7.707743500E1,9.477520512E1,0.000000000E0,1.405599976E2,3.099999905E0,0.000000000E0
2.431899462E1,-1.193204167E1,-7.707744000E1,9.467535568E1,5.764889121E-1,1.756600037E2,3.099999905E0,0.000000000E0
2.531187816E1,-1.193204833E1,-7.707744000E1,9.467538733E1,5.919305682E-1,1.721699982E2,3.099999905E0,0.000000000E0
2.631296954E1,-1.193205667E1,-7.707743667E1,9.467538982E1,7.751716375E-1,1.707299957E2,3.099999905E0,0.000000000E0
2.731145985E1,-1.193206333E1,-7.707743167E1,9.467536586E1,7.149491906E-1,1.637200012E2,3.099999905E0,0.000000000E0
2.830915831E1,-1.193207000E1,-7.707743500E1,9.467543458E1,7.087724805E-1,1.707599945E2,3.099999905E0,0.000000000E0
2.931236600E1,-1.193207500E1,-7.707743667E1,9.467547685E1,6.681094170E-1,1.674900055E2,3.000000000E0,0.000000000E0
3.031232446E1,-1.193208500E1,-7.707743833E1,9.467554286E1,8.698805571E-1,1.711300049E2,3.000000000E0,0.000000000E0
3.130943962E1,-1.193209000E1,-7.707743833E1,9.467556660E1,8.297322392E-1,1.709499969E2,3.000000000E0,0.000000000E0
3.231003200E1,-1.193209667E1,-7.707743667E1,9.467557971E1,8.420855403E-1,1.626300049E2,2.900000095E0,0.000000000E0
3.331156885E1,-1.193210500E1,-7.707743667E1,9.467561927E1,9.012786150E-1,1.658899994E2,2.900000095E0,0.000000000E0
3.430879946E1,-1.193211167E1,-7.707742833E1,9.467555824E1,9.151760936E-1,1.572100067E2,2.900000095E0,0.000000000E0
3.531648870E1,-1.193212167E1,-7.707742667E1,9.467558718E1,9.651041627E-1,1.583999939E2,2.900000095E0,0.000000000E0
3.631647623E1,-1.193213167E1,-7.707742167E1,9.467557904E1,1.075769424E0,1.566100006E2,2.900000095E0,0.000000000E0
3.731680393E1,-1.193213833E1,-7.707742000E1,9.467559215E1,9.403975010E-1,1.589400024E2,2.799999952E0,0.000000000E0
3.830987523E1,-1.193214500E1,-7.707741667E1,9.467558673E1,9.105436206E-1,1.565800018E2,2.799999952E0,0.000000000E0
3.931166231E1,-1.193215167E1,-7.707741500E1,9.467559984E1,9.146614075E-1,1.586499939E2,2.799999952E0,0.000000000E0
4.032521054E1,-1.193215833E1,-7.707741333E1,9.467561295E1,8.534094691E-1,1.593800049E2,2.799999952E0,0.000000000E0
4.131006546E1,-1.193216667E1,-7.707741167E1,9.457563398E1,8.997344375E-1,1.623899994E2,2.799999952E0,0.000000000E0
