"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,-1.193415667E1,-7.707761667E1,8.238736121E1,1.986827850E-1,2.420000000E2,1.010000038E1,0.000000000E0
9.982130000E-1,-1.193419500E1,-7.707748833E1,8.938611588E1,1.348572224E-1,2.437899933E2,6.300000191E0,0.000000000E0
2.541186308E0,-1.193421000E1,-7.707746667E1,8.798594611E1,8.904694766E-2,1.893500061E2,5.099999905E0,0.000000000E0
3.545131077E0,-1.193421500E1,-7.707745833E1,8.778587717E1,1.039738879E-1,1.398200073E2,4.500000000E0,0.000000000E0
4.544042462E0,-1.193421667E1,-7.707745333E1,8.748582947E1,0.000000000E0,9.743000031E1,4.000000000E0,0.000000000E0
5.544930923E0,-1.193421500E1,-7.707745000E1,8.708578448E1,0.000000000E0,1.368999939E2,3.599999905E0,0.000000000E0
6.545375616E0,-1.193421333E1,-7.707745000E1,8.718577657E1,0.000000000E0,5.440999985E1,3.400000095E0,0.000000000E0
7.546175770E0,-1.193421333E1,-7.707745000E1,8.718577657E1,0.000000000E0,5.440999985E1,3.200000048E0,0.000000000E0
8.544766308E0,-1.193421333E1,-7.707745000E1,8.718577657E1,0.000000000E0,5.440999985E1,3.099999905E0,0.000000000E0
9.544623154E0,-1.193421333E1,-7.707745000E1,8.718577657E1,0.000000000E0,5.440999985E1,3.000000000E0,0.000000000E0
1.054438485E1,-1.193421333E1,-7.707745000E1,8.718577657E1,0.000000000E0,5.440999985E1,2.900000095E0,0.000000000E0
1.154372808E1,-1.193421333E1,-7.707745000E1,8.718577657E1,0.000000000E0,5.440999985E1,2.799999952E0,0.000000000E0
1.254474062E1,-1.193421333E1,-7.707745000E1,8.718577657E1,0.000000000E0,5.440999985E1,2.799999952E0,0.000000000E0
1.354220831E1,-1.193421333E1,-7.707745000E1,8.718577657E1,0.000000000E0,5.440999985E1,2.700000048E0,0.000000000E0
1.454447923E1,-1.193421333E1,-7.707745000E1,8.718577657E1,0.000000000E0,5.440999985E1,2.700000048E0,0.000000000E0
1.554613915E1,-1.193421333E1,-7.707745000E1,8.718577657E1,0.000000000E0,5.440999985E1,2.599999905E0,0.000000000E0
1.654592485E1,-1.193421333E1,-7.707745000E1,8.718577657E1,0.000000000E0,5.440999985E1,2.599999905E0,0.000000000E0
1.754589454E1,-1.193421333E1,-7.707745000E1,8.718577657E1,0.000000000E0,5.440999985E1,2.599999905E0,0.000000000E0
1.854443746E1,-1.193421333E1,-7.707745000E1,8.718577657E1,0.000000000E0,5.440999985E1,2.500000000E0,0.000000000E0
1.954696092E1,-1.193421333E1,-7.707745000E1,8.718577657E1,0.000000000E0,5.440999985E1,2.500000000E0,0.000000000E0
2.054438939E1,-1.193421333E1,-7.707745000E1,8.718577657E1,0.000000000E0,5.440999985E1,2.500000000E0,0.000000000E0
2.154437300E1,-1.193421333E1,-7.707745000E1,8.718577657E1,0.000000000E0,5.440999985E1,2.400000095E0,0.000000000E0
2.254437477E1,-1.193426000E1,-7.707745333E1,8.658603519E1,6.907572150E-1,1.587799988E2,2.400000095E0,0.000000000E0
2.354871816E1,-1.193426667E1,-7.707745000E1,8.638602976E1,7.895838618E-1,1.554400024E2,2.400000095E0,0.000000000E0
2.454445723E1,-1.193427167E1,-7.707744667E1,8.608601643E1,8.225260973E-1,1.514600067E2,2.400000095E0,0.000000000E0
2.554657977E1,-1.193427833E1,-7.707744500E1,8.588602954E1,8.050255775E-1,1.504199982E2,2.400000095E0,0.000000000E0
2.654611854E1,-1.193428667E1,-7.707744333E1,8.558605056E1,9.326766729E-1,1.543500061E2,2.400000095E0,0.000000000E0
2.754692131E1,-1.193430000E1,-7.707743500E1,8.498602118E1,1.116947174E0,1.511699982E2,2.400000095E0,0.000000000E0
